Título,Enlace,Puntos,Comentarios,Fecha
Anthropic acquires Bun,https://bun.com/blog/bun-joins-anthropic,1392 points,7 hours ago,2025-12-02 20:58:33
IBM CEO says there is 'no way' spending on AI data centers will pay off,https://www.businessinsider.com/ibm-ceo-big-tech-ai-capex-data-center-spending-2025-12,229 points,7 hours ago,2025-12-02 20:58:33
Paged Out,https://pagedout.institute,218 points,5 hours ago,2025-12-02 20:58:33
I designed and printed a custom nose guard to help my dog with DLE,https://snoutcover.com/billie-story,401 points,10 hours ago,2025-12-02 20:58:33
OpenAI declares 'code red' as Google catches up in AI race,https://www.theverge.com/news/836212/openai-code-red-chatgpt,441 points,10 hours ago,2025-12-02 20:58:33
Amazon launches Trainium3,https://techcrunch.com/2025/12/02/amazon-releases-an-impressive-new-ai-chip-and-teases-a-nvidia-friendly-roadmap/,126 points,6 hours ago,2025-12-02 20:58:33
DOOM could have had PC Speaker Music,https://lenowo.org/viewtopic.php?t=45,25 points,2 hours ago,2025-12-02 20:58:33
Free static site generator for small restaurants and cafes,https://lite.localcafe.org/,83 points,5 hours ago,2025-12-02 20:58:33
Learning music with Strudel,https://terryds.notion.site/Learning-Music-with-Strudel-2ac98431b24180deb890cc7de667ea92,384 points,12 hours ago,2025-12-02 20:58:33
Qwen3-VL can scan two-hour videos and pinpoint nearly every detail,https://the-decoder.com/qwen3-vl-can-scan-two-hour-videos-and-pinpoint-nearly-every-detail/,97 points,7 hours ago,2025-12-02 20:58:33
Ecosia: The greenest AI is here,https://blog.ecosia.org/ecosia-ai/,60 points,4 hours ago,2025-12-02 20:58:33
All about automotive lidar,https://mainstreetautonomy.com/blog/2025-08-29-all-about-automotive-lidar/,92 points,6 hours ago,2025-12-02 20:58:33
Zig's new plan for asynchronous programs,https://lwn.net/SubscriberLink/1046084/4c048ee008e1c70e/,217 points,11 hours ago,2025-12-02 20:58:33
Exploring Large HTML Documents on the Web,https://calendar.perfplanet.com/2025/exploring-large-html-documents-on-the-web/,24 points,3 hours ago,2025-12-02 20:58:33
100k TPS over a billion rows: the unreasonable effectiveness of SQLite,https://andersmurphy.com/2025/12/02/100000-tps-over-a-billion-rows-the-unreasonable-effectiveness-of-sqlite.html,281 points,7 hours ago,2025-12-02 20:58:33
Delty (YC X25) Is Hiring,https://www.ycombinator.com/companies/delty/jobs/aPWMaiq-full-stack-software-engineer,N/A,4 hours ago,2025-12-02 20:58:33
School cell phone bans and student achievement,https://www.nber.org/digest/202512/school-cell-phone-bans-and-student-achievement,83 points,7 hours ago,2025-12-02 20:58:33
Practical Intro to Operational Transformation,https://archive.casouri.cc/note/2025/practical-intro-ot/,14 points,3 hours ago,2025-12-02 20:58:33
Zenroom – No-code cryptographic virtual machine,https://zenroom.org/,7 points,2 hours ago,2025-12-02 20:58:33
YesNotice,https://infinitedigits.co/docs/software/yesnotice/,149 points,11 hours ago,2025-12-02 20:58:33
Advent of Compiler Optimisations 2025,https://xania.org/202511/advent-of-compiler-optimisation,341 points,16 hours ago,2025-12-02 20:58:33
Cursed circuits: charge pump voltage halver,https://lcamtuf.substack.com/p/cursed-circuits-charge-pump-voltage,56 points,7 hours ago,2025-12-02 20:58:33
Mistral 3 family of models released,https://mistral.ai/news/mistral-3,660 points,10 hours ago,2025-12-02 20:58:33
StutterZero: Speech Conversion for Stuttering Transcription and Correction,https://arxiv.org/abs/2510.18938,5 points,1 hour ago,2025-12-02 20:58:33
Claude 4.5 Opus’ Soul Document,https://www.lesswrong.com/posts/vpNG99GhbBoLov9og/claude-4-5-opus-soul-document,261 points,6 hours ago,2025-12-02 20:58:33
The Junior Hiring Crisis,https://people-work.io/blog/junior-hiring-crisis/,222 points,8 hours ago,2025-12-02 20:58:33
Addressing the adding situation,https://xania.org/202512/02-adding-integers,245 points,14 hours ago,2025-12-02 20:58:33
Python Data Science Handbook,https://jakevdp.github.io/PythonDataScienceHandbook/,216 points,13 hours ago,2025-12-02 20:58:33
Code Wiki: Accelerating your code understanding,https://developers.googleblog.com/en/introducing-code-wiki-accelerating-your-code-understanding/,58 points,7 hours ago,2025-12-02 20:58:33
AI generated font using Nano Banana,https://constanttime.notion.site/Worlds-first-Ai-generated-font-using-nano-banana-2ba6f8e15af18012864bdb760fa9c9ba?pvs=74,50 points,4 hours ago,2025-12-02 20:58:33
